"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL483847";"";"None";"374.32";"0";"3.88";"2, GNF-2";"NC(=O)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1";"Inhibition";"";"";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1249656";"Inhibition of Bcr-abl E255V mutant autophosphorylation at Y245 position in mouse BA/F3cells expressing p210 Bcr-abl at 1 to 10 uM after 90 mins by immunoblotting";"B";"BAO_0000019";"assay format";"Mus musculus";"None";"None";"None";"None";"";"P00520";"E255V";"CHEMBL3099";"Tyrosine-protein kinase ABL1";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1240306";"1";"Scientific Literature";"Nat Chem Biol";"2006";"None";"";"";"Active";""
"CHEMBL1213973";"";"None";"532.65";"2";"7.03";"8, BIRBvec";"Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1";"IC50";"'='";"8.6";"nM";"8.07";"";"";"UO_0000065";"15.14";"0.28";"1.04";"7.36";"0";"CHEMBL1220002";"Inhibition of mouse recombinant N-terminal His6-tagged Abl by radiometric kinase assay";"B";"BAO_0000357";"single protein format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3099";"Tyrosine-protein kinase ABL1";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1212849";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";"";"8.6"
"CHEMBL215797";"";"None";"278.31";"0";"4.56";"2";"CCc1cccc2c1ccc1c3occ(C)c3c(=O)oc21";"Inhibition";"'='";"93.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1068862";"Inhibition of mouse recombinant ABL expressed in Escherichia coli at 10 uM";"B";"BAO_0000019";"assay format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3099";"Tyrosine-protein kinase ABL1";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1157575";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";"";"93.0"
"CHEMBL3605774";"";"None";"516.53";"2";"5.52";"4e";"Cc1cn(-c2cc(NC(=O)c3ccc(C)c(C#Cc4cnc(NC5CC5)nc4)c3)cc(C(F)(F)F)c2)cn1";"Inhibition";"";"";"%";"";"";"Dose-dependent effect";"UO_0000187";"";"";"";"";"0";"CHEMBL3607343";"Inhibition of Bcr-Abl T315I mutant phosphorylation in mouse BA/F3 cells after 4 hrs by Western blot analysis";"B";"BAO_0000219";"cell-based format";"Mus musculus";"None";"None";"BaF3";"None";"";"P00520";"T315I";"CHEMBL3099";"Tyrosine-protein kinase ABL1";"Mus musculus";"SINGLE PROTEIN";"CHEMBL3603836";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"CHEMBL3307634";"";"";"";""
"CHEMBL255863";"NILOTINIB";"4.0";"529.53";"2";"6.36";"2";"Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1";"Inhibition";"";"";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2318540";"Inhibition of BCR-ABL T315I mutant-mediated STAT5 phosphorylation in mouse BA/F3 cells after 4 hrs by Western blotting analysis";"B";"BAO_0000219";"cell-based format";"Mus musculus";"None";"None";"BaF3";"None";"";"P00520";"T315I";"CHEMBL3099";"Tyrosine-protein kinase ABL1";"Mus musculus";"SINGLE PROTEIN";"CHEMBL2311339";"1";"Scientific Literature";"J Med Chem";"2013";"CHEMBL3307634";"";"";"Not active";""
"CHEMBL4277755";"";"None";"314.39";"0";"4.07";"5y";"CC1(C)Cc2c(-c3ccncc3)c(-c3ccccc3C#N)nn2C1";"IC50";"'='";"20000.0";"nM";"4.70";"";"";"UO_0000065";"14.95";"0.27";"0.63";"8.62";"0";"CHEMBL4270676";"Inhibition of mouse ABL expressed in Sf9 insect cells using GGEAIYAAPFKK as substrate in presence of [gamma-33P]ATP";"B";"BAO_0000219";"cell-based format";"Mus musculus";"None";"None";"Sf9";"None";"";"";"";"CHEMBL3099";"Tyrosine-protein kinase ABL1";"Mus musculus";"SINGLE PROTEIN";"CHEMBL4270481";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";"";"20.0"
"CHEMBL1257546";"";"None";"395.37";"0";"2.13";"9,BV02";"Cc1c(NC(=O)c2c(C(=O)O)cccc2C(=O)O)c(=O)n(-c2ccccc2)n1C";"Activity";"";"";"";"";"";"";"";"";"";"";"";"0";"CHEMBL1261131";"Induction of translocation of cAbl in to mitochondria of mouse BA/F3 cells assessed as caspase9 cleavage";"B";"BAO_0000252";"mitochondrion format";"Mus musculus";"None";"None";"BaF3";"Mitochondria";"";"";"";"CHEMBL3099";"Tyrosine-protein kinase ABL1";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1255204";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307634";"";"";"Active";""
"CHEMBL1257659";"";"None";"437.45";"0";"3.72";"14d";"CN1CCN(C(=O)c2cc3c(Nc4ccc(OC(F)(F)F)cc4)ncnc3s2)CC1";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1261022";"Inhibition of Bcr-Abl E505K mutant in mouse BA/F3 cells assessed as cell growth inhibition";"B";"BAO_0000219";"cell-based format";"Mus musculus";"None";"None";"BaF3";"None";"";"P00520";"E505K";"CHEMBL3099";"Tyrosine-protein kinase ABL1";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1255198";"1";"Scientific Literature";"J Med Chem";"2010";"CHEMBL3307634";"";"";"";"10.0"
"CHEMBL1644616";"";"None";"304.38";"0";"4.15";"1";"S=c1[nH]nc(-c2ccncc2)n1-c1ccc2ccccc2c1";"Inhibition";"'='";"94.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1648163";"Inhibition of mouse Abl at 10 uM after 60 mins by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3099";"Tyrosine-protein kinase ABL1";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1641539";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"94.0"
"CHEMBL103667";"DORAMAPIMOD";"2.0";"527.67";"2";"5.99";"3, BIRB-796";"Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1";"IC50";"'='";"14600.0";"nM";"4.84";"";"";"UO_0000065";"9.16";"0.17";"-1.15";"6.00";"0";"CHEMBL1220002";"Inhibition of mouse recombinant N-terminal His6-tagged Abl by radiometric kinase assay";"B";"BAO_0000357";"single protein format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3099";"Tyrosine-protein kinase ABL1";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1212849";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";"";"14600.0"
"CHEMBL4205469";"";"None";"440.94";"0";"4.01";"25";"COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(N)cc2)n1";"IC50";"'='";"2810.0";"nM";"5.55";"";"";"UO_0000065";"12.59";"0.24";"1.54";"6.25";"0";"CHEMBL4179477";"Inhibition of ABL in mouse BAF3 cells assessed as reduction in cell viability after 72 hrs by MTT assay";"B";"BAO_0000219";"cell-based format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3099";"Tyrosine-protein kinase ABL1";"Mus musculus";"SINGLE PROTEIN";"CHEMBL4177590";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";"";"";"";"2.81"
