"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL4647008";"";"None";"423.40";"0";"2.69";"POMHEX";"CC(C)(C)C(=O)OCOP(=O)(OCOC(=O)C(C)(C)C)C1CCCN(O)C1=O";"IC50";"'='";"2406.0";"nM";"5.62";"";"";"UO_0000065";"13.27";"0.27";"2.93";"4.37";"0";"CHEMBL4621996";"Inhibition of ENO1 in wild-type human LN319 cells incubated for 5 days in presence of 21 % oxygen by crystal violet staining based spectrophotometry";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4619798";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";"";"2406.0"
"CHEMBL5083204";"";"None";"184.19";"0";"1.60";"CY1";"C#CCOc1ccc(-c2cc2=O)cc1";"Activity";"";"";"";"";"";"";"";"";"";"";"";"0";"CHEMBL5382470";"Binding affinity to recombinant ENO1 (unknown origin) at 10 uM by Western blot analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5380806";"1";"Scientific Literature";"J Med Chem";"2023";"None";"DOSE = 10.0 microM";"BINDING AGENT";"Active";""
"CHEMBL3799977";"";"None";"482.50";"0";"4.64";"1; C646-yne";"C#CCNC(=O)c1ccc(N2N=C(C)/C(=C/c3ccc(-c4cc(C)c(C)cc4[N+](=O)[O-])o3)C2=O)cc1";"FC";"'='";"7.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL3803743";"Binding affinity to ENO1 in HEK293 proteomes assessed as spectral count ratio at 20 uM incubated for 16 hrs by TAMRA biotin-azide dye based LC-MS/MS analysis relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3797061";"1";"Scientific Literature";"ACS Med Chem Lett";"2016";"None";"";"";"";"7.0"
"CHEMBL4590624";"";"None";"516.52";"2";"5.48";"1; Tr-87";"C#CC(=O)Nc1ccc(-n2nc(CCC(=O)NC)cc2-c2ccc(-c3ccc(C(F)(F)F)cc3)cc2)cc1";"Activity";"";"";"";"";"";"";"";"";"";"";"";"0";"CHEMBL4415380";"Binding affinity to ENOA in human PC9 cells incubated for 1 hr by ABPP-SILAC assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4414568";"1";"Scientific Literature";"J Med Chem";"2019";"None";"";"";"Active";""
"CHEMBL1232461";"MOLIBRESIB";"2.0";"423.90";"0";"3.66";"I-BET762, GSK525762A";"CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21";"FC";"'='";"0.56";"";"";"";"";"";"";"";"";"";"0";"CHEMBL5699592";"Inhibition of ENO1 (unknown origin) assessed as fold change at 0.08 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"EFO_ID: EFO:0000565 | EFO_TERM: leukemia";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5696440";"72";"Chemical Probe data from Scientific Literature";"Nature";"2011";"None";"DOSE = 0.08 microM | TIME = 1.0 hr";"INHIBITOR";"";"0.56"
"CHEMBL1232461";"MOLIBRESIB";"2.0";"423.90";"0";"3.66";"I-BET762, GSK525762A";"CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21";"FC";"'='";"0.23";"";"";"";"";"";"";"";"";"";"0";"CHEMBL5697492";"Inhibition of ENO1 (unknown origin) assessed as fold change at 10 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"EFO_ID: EFO:0000565 | EFO_TERM: leukemia";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5696440";"72";"Chemical Probe data from Scientific Literature";"Nature";"2011";"None";"DOSE = 10.0 microM | TIME = 1.0 hr";"INHIBITOR";"";"0.23"
"CHEMBL4647387";"";"None";"195.11";"0";"-0.46";"5; HEX";"O=C1C(P(=O)(O)O)CCCN1O";"IC50";"'='";"5900.0";"nM";"5.23";"";"";"UO_0000065";"26.80";"0.60";"5.69";"5.33";"0";"CHEMBL5107357";"Inhibition of ENO1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5104201";"1";"Scientific Literature";"J Med Chem";"2022";"None";"";"INHIBITOR";"";"5900.0"
"CHEMBL5193347";"";"None";"181.08";"0";"-0.85";"2; DeoxySF2312";"O=C1C(P(=O)(O)O)CCN1O";"IC50";"'='";"2691.0";"nM";"5.57";"";"";"UO_0000065";"30.76";"0.69";"6.42";"5.68";"0";"CHEMBL5107357";"Inhibition of ENO1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5104201";"1";"Scientific Literature";"J Med Chem";"2022";"None";"";"INHIBITOR";"";"2691.0"
"CHEMBL1232461";"MOLIBRESIB";"2.0";"423.90";"0";"3.66";"I-BET762, GSK525762A";"CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21";"IC50";"'='";"3450.0";"nM";"5.46";"";"";"UO_0000065";"12.89";"0.25";"1.80";"6.71";"0";"CHEMBL5700992";"Inhibition of ENO1 (unknown origin) incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"EFO_ID: EFO:0000565 | EFO_TERM: leukemia";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5696440";"72";"Chemical Probe data from Scientific Literature";"Nature";"2011";"None";"TIME = 1.0 hr";"INHIBITOR";"";"3.45"
"CHEMBL4643988";"";"None";"451.37";"0";"3.16";"VCY15";"CC(=O)ON1CCCC(P(=O)(NCc2ccccc2)OCc2ccc([N+](=O)[O-])o2)C1=O";"IC50";"'='";"25887.0";"nM";"4.59";"";"";"UO_0000065";"10.16";"0.20";"1.43";"3.25";"0";"CHEMBL4621995";"Inhibition of ENO1 in overexpressed human D423 cells incubated for 5 days in presence of 21 % oxygen by crystal violet staining based spectrophotometry";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4619798";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";"";"25887.0"
